travelTimeMeta_ID,Vsi,Qtn_TT,Ic_TT,fz_TT,ztop_TT,zbot_TT,Group,Group_ID
17,278.9216917,89.31664406,2.699062527,1.899888588,25.85,27.75,af/Qi,6
18,108.6163134,264.4939473,2.408319244,0.224085041,1.75,3.75,af/Qi,6
18,129.9699692,53.82476116,2.939750441,0.323510447,3.75,5.75,af/Qi,6
18,101.7009966,49.55665637,2.90571304,0.408618161,5.75,7.75,af/Qi,6
18,95.78067274,42.77038486,2.933133883,0.490997621,7.75,9.75,af/Qi,6
18,141.0943667,56.74860715,2.955145867,0.596619719,9.75,11.75,af/Qi,6
18,251.7584062,150.9158742,2.679103122,0.713990882,11.75,13.75,af/Qi,6
18,306.1327002,238.5361751,2.613996878,0.879456682,13.75,15.75,af/Qi,6
18,304.9905753,320.4985707,1.91872036,1.085511918,15.75,17.75,af/Qi,6
18,343.1297352,225.9945666,2.172399311,1.292852436,17.75,19.75,af/Qi,6
18,288.1578494,111.0749237,2.554115633,1.456711207,19.75,21.75,af/Qi,6
19,129.4825132,141.6099932,1.976583811,0.184394531,1.75,3.75,af/Qi,6
19,125.7355947,94.8011696,2.359658233,0.297277201,3.75,5.75,af/Qi,6
19,95.70511455,74.45610742,2.616835928,0.373416208,5.75,7.75,af/Qi,6
19,100.6762144,67.82342719,2.691853772,0.423494528,7.75,9.75,af/Qi,6
19,97.06385964,59.39253938,2.692616341,0.495757817,9.75,11.75,af/Qi,6
19,106.305714,67.80407247,2.656230134,0.573836391,11.75,13.75,af/Qi,6
19,167.5831413,77.97717252,2.773952062,0.690734132,13.75,15.75,af/Qi,6
19,253.933611,96.00170476,2.599180864,0.810908122,15.75,17.75,af/Qi,6
19,210.7049351,155.6817403,2.562299125,0.958974217,17.75,19.75,af/Qi,6
19,250.1187429,202.8315087,2.554739488,1.127573764,19.75,21.75,af/Qi,6
19,234.739349,135.9785466,2.479247473,1.294269131,21.75,23.75,af/Qi,6
19,293.7957691,154.235809,2.625680666,1.470886622,23.75,25.75,af/Qi,6
19,266.8898563,119.0941698,2.654118577,1.640542392,25.75,27.75,af/Qi,6
19,276.0425332,256.5281567,2.37539967,1.7823276,27.75,28.95,af/Qi,6
20,139.0344432,161.8250576,1.816069344,0.211784258,1.75,3.75,af/Qi,6
20,105.3598443,128.2663075,2.348459689,0.357566194,3.75,5.75,af/Qi,6
20,100.1852223,56.8468378,2.83660067,0.460447064,5.75,7.75,af/Qi,6
20,103.0414544,49.24281137,2.859458261,0.555443018,7.75,9.75,af/Qi,6
20,114.2143393,53.68472984,2.812939097,0.655409435,9.75,11.75,af/Qi,6
20,192.867321,67.37077017,2.768729402,0.753690517,11.75,13.75,af/Qi,6
20,298.2561147,219.4353439,2.32013716,0.891352365,13.75,15.75,af/Qi,6
20,192.2426648,141.3255971,2.591086079,1.064819927,15.75,17.75,af/Qi,6
20,292.7797854,215.8411724,2.363205668,1.209930547,17.75,19.25,af/Qi,6
21,177.0441895,159.2074826,1.92693765,0.269854487,1.75,3.75,af/Qi,6
21,78.74468975,45.12092584,2.770188747,0.370855554,3.75,5.75,af/Qi,6
21,96.14112521,47.96987488,2.727493966,0.417811898,5.75,7.75,af/Qi,6
21,89.18656217,41.13671935,2.787863695,0.473769528,7.75,9.75,af/Qi,6
21,98.49153054,41.38759458,2.796740666,0.535860903,9.75,11.75,af/Qi,6
21,112.8261295,46.60614975,2.829173198,0.615311412,11.75,13.75,af/Qi,6
21,177.0899247,73.23957451,2.893057768,0.717501325,13.75,15.8,af/Qi,6
21,198.3607674,181.0535968,2.182544041,0.859049013,15.8,17.75,af/Qi,6
21,289.6296807,210.8885699,1.425497303,1.041410033,17.75,19.75,af/Qi,6
21,240.007281,196.5807788,1.504433578,1.172266954,19.75,20.6,af/Qi,6
22,152.3255103,156.8081526,2.370359266,0.30738524,1.75,3.75,af/Qi,6
22,139.9570937,115.9965352,2.459951539,0.447774244,3.75,5.75,af/Qi,6
22,148.9060172,126.8876576,2.823029831,0.555552173,5.75,7.75,af/Qi,6
22,237.7776431,236.2748757,1.679129531,0.736052986,7.75,9.75,af/Qi,6
22,247.8998534,135.2726632,2.371251021,0.911853149,9.75,11.75,af/Qi,6
22,247.3903326,143.6842626,2.748982209,1.076871915,11.75,13.75,af/Qi,6
22,227.5156637,100.4908067,2.66597758,1.237128748,13.75,15.8,af/Qi,6
22,272.9641936,70.33273361,2.912428279,1.406055738,15.8,17.75,af/Qi,6
22,222.0638788,136.5315543,2.79413917,1.559581,17.75,19.75,af/Qi,6
22,283.8816145,144.2068693,2.098921519,1.739780213,19.75,21.75,af/Qi,6
22,431.5686381,209.1725649,2.508974138,1.910049121,21.75,23.75,af/Qi,6
22,324.6634964,118.8356532,2.575432924,2.100501176,23.75,25.75,af/Qi,6
22,300.8377487,66.4954574,2.851376857,2.252895024,25.75,27.75,af/Qi,6
22,237.0849405,119.8368473,2.787391396,2.413929132,27.75,29.75,af/Qi,6
22,321.0927097,243.5142349,2.617458391,2.527728018,29.75,30.2,af/Qi,6
23,101.176342,72.93110382,3.224232458,0.218218477,1.75,3.75,af/Qi,6
23,83.38246459,59.64822825,2.996373161,0.313611975,3.75,5.75,af/Qi,6
23,85.30890159,46.78303808,2.975327436,0.412991657,5.75,7.75,af/Qi,6
23,90.24040142,44.34876209,2.971399133,0.50950129,7.75,9.75,af/Qi,6
23,134.092637,107.9150181,2.586347694,0.615464179,9.75,11.75,af/Qi,6
23,147.8880932,162.5179801,2.715820226,0.752345004,11.75,13.75,af/Qi,6
23,361.5981956,389.0538023,1.828826343,0.947979772,13.75,15.8,af/Qi,6
23,334.1687389,320.5885119,1.652962853,1.171647617,15.8,17.75,af/Qi,6
23,382.0317705,257.0193662,2.330180093,1.390714544,17.75,19.75,af/Qi,6
23,297.4003135,341.303285,2.192387105,1.59172907,19.75,21.75,af/Qi,6
23,348.4101306,290.6139904,2.200402385,1.81126475,21.75,23.75,af/Qi,6
23,298.709576,132.338293,2.615825194,2.019857529,23.75,25.75,af/Qi,6
23,231.7137123,90.34997327,2.736265236,2.203652815,25.75,27.75,af/Qi,6
23,253.1674484,66.48390075,2.906840292,2.357320012,27.75,29.75,af/Qi,6
23,239.287613,105.5280851,2.941624138,2.530021319,29.75,31.75,af/Qi,6
23,249.1552801,69.00851205,2.9453977,2.695178573,31.75,33.75,af/Qi,6
23,224.0695114,39.90015457,3.074579588,2.850654027,33.75,35.75,af/Qi,6
23,224.0812919,42.82690522,3.080968278,2.9480526,35.75,36.25,af/Qi,6
24,83.69601441,50.43197446,3.839029034,0.213724172,1.75,3.75,af/Qi,6
