travelTimeMeta_ID,site_ID,Group,citation_ID,name,Geology (Holzer),search (Grant),Geology (Site Table),Geology (Mapping),longitude,latitude,method,date,quality,VelocityDataType,vsz_value,vsz_unit,z_value,z_unit,depth_unit,traveltime_unit,DGWT,Group
130,3357,Lagoonal,80,BZA004,Lagoonal,Texas,"",#N/A,-95.4492,28.8691,SCPT,2006.1.4,,Vs,176.8513,m/s,23.5,m,m,m/s,-,Lagoonal
131,3358,Lagoonal,80,BZA005,Lagoonal,Texas,"",#N/A,-95.4812,28.8871,SCPT,2006.1.4,,Vs,186.0933,m/s,14.8,m,m,m/s,-,Lagoonal
132,3359,Lagoonal,80,BZA006,Lagoonal,Texas,"",#N/A,-95.5063,28.8959,SCPT,2006.1.4,,Vs,187.1277,m/s,21.05,m,m,m/s,-,Lagoonal
133,3360,Lagoonal,80,BZA007,Lagoonal,Texas,"",#N/A,-95.5464,28.9145,SCPT,2006.1.4,,Vs,201.3116,m/s,24.25,m,m,m/s,-,Lagoonal
134,3361,Lagoonal,80,BZA008,Lagoonal,Texas,"",#N/A,-95.2676,29.0601,SCPT,2006.1.6,,Vs,171.6234,m/s,14.6,m,m,m/s,-,Lagoonal
135,3362,Lagoonal,80,BZA009,Lagoonal,Texas,"",#N/A,-95.2555,29.065,SCPT,2006.1.6,,Vs,195.9199,m/s,15.75,m,m,m/s,-,Lagoonal
136,3363,Lagoonal,80,BZA010,Lagoonal,Texas,"",#N/A,-95.246,29.0739,SCPT,2006.1.6,,Vs,184.9929,m/s,14.25,m,m,m/s,-,Lagoonal
137,3364,Lagoonal,80,BZA011,Lagoonal,Texas,"",#N/A,-95.2291,29.0581,SCPT,2006.1.6,,Vs,195.9361,m/s,20.25,m,m,m/s,-,Lagoonal
138,3365,Lagoonal,80,BZA012,Lagoonal,Texas,"",#N/A,-95.2399,29.0616,SCPT,2006.1.6,,Vs,176.6243,m/s,15.55,m,m,m/s,-,Lagoonal
139,3366,Lagoonal,80,BZA013,Lagoonal,Texas,"",#N/A,-95.2675,29.0379,SCPT,2006.1.6,,Vs,182.3119,m/s,16.45,m,m,m/s,-,Lagoonal
140,3367,Lagoonal,80,BZA014,Lagoonal,Texas,"",#N/A,-95.5872,28.8668,SCPT,2006.1.7,,Vs,218.3285,m/s,19.75,m,m,m/s,-,Lagoonal
141,3368,Lagoonal,80,BZA015,Lagoonal,Texas,"",#N/A,-95.5841,28.8765,SCPT,2006.1.7,,Vs,202.7449,m/s,16.25,m,m,m/s,-,Lagoonal
142,3369,Lagoonal,80,BZA016,Lagoonal,Texas,"",#N/A,-95.5662,28.8805,SCPT,2006.1.7,,Vs,191.8704,m/s,20.25,m,m,m/s,-,Lagoonal
143,3370,Lagoonal,80,BZA017,Lagoonal,Texas,"",#N/A,-95.5576,28.8808,SCPT,2006.1.7,,Vs,182.6793,m/s,20.25,m,m,m/s,-,Lagoonal
144,3371,Lagoonal,80,BZA018,Lagoonal,Texas,"",#N/A,-95.565,28.8885,SCPT,2006.1.7,,Vs,191.8293,m/s,20.05,m,m,m/s,-,Lagoonal
